#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
567        2.93035e-05       9.15945e-06
568        0.000170819       2.08521e-05
569        6.91546e-06       2.15419e-06
570        1.66943e-05       9.31316e-06
571        2.11807e-05       1.47954e-05
572        1.93748e-05       3.40016e-06
573        4.50846e-05       2.41587e-05
574        3.54571e-05       3.77595e-06
575        2.0622e-05       1.27659e-05
576        2.572e-05       2.43032e-05
577        0.000151768       8.8261e-05
578        3.28333e-05       3.3447e-05
579        8.77185e-05       4.59177e-05
580        1.5623e-05       2.92359e-06
581        1.2693e-05       1.33088e-07
582        7.39607e-05       1.3762e-05
583        4.97404e-05       5.08269e-06
584        5.00155e-05       2.70215e-06
585        5.13696e-05       4.13165e-06
586        4.41759e-05       2.34547e-06
587        5.00221e-05       1.6524e-06
588        7.86424e-05       1.40112e-05
589        7.7112e-05       1.1836e-05
590        7.94447e-05       1.9444e-05
591        5.26374e-05       1.77345e-06
592        4.27352e-05       1.40582e-06
593        4.3795e-05       2.03381e-06
594        7.17725e-05       2.78054e-06
595        4.45372e-05       2.65177e-06
596        4.30633e-05       2.00284e-06
597        7.41711e-05       1.34382e-05
598        4.8449e-05       2.5104e-06
599        4.34135e-05       2.01705e-06
600        4.87688e-05       2.79776e-06
601        5.05534e-05       3.39571e-06
602        0.00094196       0.000517423
603        0.000390068       0.000291491
604        7.66689e-05       5.63865e-05
605        0.000322215       0.000372484
606        0.00013177       0.000140382
607        6.62602e-05       2.10014e-05
608        0.000630638       0.000606292
609        0.000172513       6.98801e-05
610        0.000808698       0.000207005
611        0.000270188       9.48984e-05
612        0.000910063       0.000505217
613        0.000376272       0.00014197
614        0.000658708       0.000522329
615        0.000271268       7.21499e-05
616        0.000167086       9.04099e-05
617        0.000438961       0.000425321
618        0.000147362       8.53735e-05
619        0.000195304       9.17638e-05
620        0.00147106       0.00081851
621        0.000298424       9.41468e-05
622        0.000657666       9.53956e-05
623        0.00410614       0.00236838
624        0.000302994       0.000229163
625        0.000621294       0.000337792
626        0.00189872       0.00128719
627        0.00294714       0.00671964
628        0.00251583       0.00496291
629        0.000801222       0.000319915
630        0.000674637       0.000223099
631        0.000614845       0.000708963
632        0.000280141       0.000164283
633        0.001424       0.000658272
634        0.000228911       0.000113406
635        0.000912688       0.000412253
636        0.00238722       0.00252201
637        0.000510688       0.000107222
638        0.00910038       0.00374047
639        0.000290426       8.23566e-05
640        0.000279582       7.78783e-05
641        0.000729821       0.000377087
642        9.1698e-05       1.92521e-06
643        0.000112937       2.08841e-06
644        0.000123242       5.14577e-06
645        0.000162285       5.37748e-06
646        6.51425e-05       1.22712e-06
647        6.82267e-05       1.40162e-06
648        0.000167392       9.20961e-06
649        0.000122348       6.79893e-06
650        0.000168479       2.71727e-06
651        0.000152944       1.6584e-05
652        9.46715e-05       1.09451e-05
653        0.000123897       4.69481e-06
654        0.000109578       3.367e-06
655        8.62309e-05       1.83079e-06
656        0.000112472       4.55709e-06
657        4.00451e-05       1.63327e-05
658        0.000142251       1.86195e-05
659        0.000116127       1.05332e-05
660        4.25816e-05       9.09301e-06
661        0.000110203       4.77106e-06
662        0.000246557       2.6401e-05
663        0.000182868       1.23244e-05
664        0.000148866       3.88398e-06
665        0.000199401       5.83284e-06
666        0.000256311       1.30132e-05
667        0.000192917       1.05967e-05
668        0.000183821       5.53093e-05
669        0.000197768       1.02477e-05
670        0.000176327       1.44518e-05
671        0.000191139       2.83285e-06
672        0.000121628       5.84963e-06
673        0.000162319       4.85231e-06
674        0.000149244       1.28014e-05
675        0.000245496       2.49044e-06
676        0.000186128       5.99374e-06
677        0.000163531       7.9983e-06
678        0.00015972       8.96383e-06
679        0.000214362       5.91293e-06
680        0.000199917       7.64024e-06
681        0.000138962       7.85052e-06
682        0.000573923       3.75361e-05
683        0.000319159       3.88275e-05
684        0.000337942       1.50079e-05
685        0.000965045       5.11835e-05
686        0.000464676       2.23428e-05
687        0.000316923       9.7374e-06
688        0.000434147       4.4332e-05
689        0.000445946       2.51108e-05
690        0.000510834       3.1429e-05
691        0.000564615       3.26422e-05
692        0.000184609       2.61055e-05
693        0.000441697       1.20057e-05
694        0.000501987       1.91021e-05
695        0.000408465       2.44922e-05
696        0.000381733       3.4866e-05
697        0.000193498       1.73596e-05
698        0.000375286       1.23514e-05
699        0.000195137       2.43479e-05
700        0.000278479       8.91381e-06
701        0.000464407       1.97688e-05
702        0.000795922       4.51847e-05
703        0.000534763       3.9726e-05
704        0.000590282       2.75389e-05
705        0.000807731       0.000140273
706        0.000405023       4.36191e-05
707        0.000653875       5.77195e-05
708        0.000895241       1.11462e-05
709        0.000485559       4.02632e-05
710        0.00051762       6.32839e-05
711        0.000419613       3.61124e-05
712        0.000684081       2.1386e-05
713        0.000722817       1.26483e-05
714        0.00132804       0.000102383
715        0.000690032       1.55659e-05
716        0.000447404       4.29011e-05
717        0.00087766       6.7616e-05
718        0.000548995       5.17964e-05
719        0.000920417       3.46855e-05
720        0.000584339       1.74992e-05
721        0.000703144       6.23879e-05
722        0.00115061       2.67002e-05
723        0.000900612       9.6516e-05
724        0.000436384       2.8375e-05
725        0.000732726       9.218e-05
726        0.000747464       0.000138233
727        0.000533352       0.000129055
728        0.00195615       0.000119333
729        0.00125638       6.54807e-05
730        0.000320508       0.000159304
731        0.00133152       4.34118e-05
732        0.000764519       0.000100902
733        0.00158901       2.39615e-05
734        0.00118752       8.92523e-05
735        0.000909127       0.000239942
736        0.000738342       0.000695237
737        0.0011399       3.71862e-05
738        0.000600048       2.1549e-05
739        0.00107631       0.00012592
740        0.001699       0.000220734
741        0.000772807       4.15886e-05
742        0.00078437       0.000126181
743        2.61936e-05       6.08187e-06
744        1.13961e-05       1.11457e-06
745        5.13556e-05       7.16625e-06
746        6.10225e-05       2.16265e-05
747        0.00124801       0.000414122
748        4.67194e-05       2.69394e-05
749        0.00013315       5.28841e-05
750        5.91081e-05       1.08537e-05
751        2.97347e-05       1.12125e-05
752        0.000703064       0.000271628
753        2.80203e-05       1.21056e-05
754        8.57996e-06       3.43777e-06
755        7.57548e-05       3.92831e-05
756        4.13453e-05       2.26286e-05
757        7.7832e-05       4.55642e-05
758        3.88759e-05       2.5107e-05
759        3.02664e-05       2.77416e-05
760        3.5174e-05       8.32368e-06
761        1.4235e-05       1.91058e-06
