#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
418        0.00233101       0.000974077
419        0.00599637       0.00215284
420        0.00110943       0.00142457
421        0.00388912       0.00094877
422        0.00126663       0.00166974
423        0.00541427       0.000907846
424        0.000654332       4.41493e-05
425        0.00207773       0.000382379
426        0.00480345       0.00460889
427        0.00708807       0.00328614
428        0.00209363       0.00184364
429        0.00920934       0.00702399
430        0.0021588       0.000695169
431        0.00252075       0.000771211
432        0.00198929       0.000479715
433        1.28669       0.598111
434        0.00325363       0.00205375
435        0.00845605       0.00857493
436        0.00573093       0.00416793
437        1.68878       0.529809
438        0.0034799       0.000842756
439        0.504053       0.0609278
440        0.0460605       0.0134504
441        0.0152995       0.0187223
442        0.00720186       0.00530062
443        0.419058       0.0497242
444        0.00541065       0.00127348
445        0.00151681       8.13437e-05
446        0.00159984       4.90403e-05
447        0.00365565       0.000785364
448        4.82087       3.82652
449        0.0444956       0.0237374
450        0.104665       0.278478
451        0.00275699       0.00227791
452        0.0766825       0.0789379
453        0.0248595       0.00492736
454        0.00511073       0.00436122
455        0.0273133       0.00346763
456        0.00156174       4.87484e-05
457        0.0124452       0.00211353
458        0.00362689       0.00191875
459        0.00150897       3.04528e-05
460        2.31611       0.700941
461        0.255833       0.228898
462        0.0225218       0.00952009
463        0.0039541       0.0018783
464        0.00124033       0.000294821
465        0.0481353       0.0209473
466        0.0320936       0.00630736
467        0.00292266       0.000998788
468        0.0195076       0.0324076
469        0.0151859       0.0266565
470        0.00501482       0.0047857
471        0.0683136       0.00709268
472        0.00402947       0.00242041
473        5.71943       1.38634
474        0.0137382       0.00585801
475        0.00250864       0.00162396
476        0.0060825       0.00105051
477        0.00343059       0.0030879
478        0.00159955       6.10041e-05
479        0.0559663       0.038097
480        0.00241284       0.000720887
481        0.00325091       0.00141789
482        0.392056       0.0482381
483        0.00228936       0.00202525
484        0.00326226       0.000851788
485        0.000347456       6.22243e-05
486        0.000948057       0.000220205
487        0.0625678       0.00867309
488        0.00193235       0.00109681
489        0.00425697       0.0014368
