#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
242        0.000121414       4.12035e-06
243        0.000154735       7.08355e-06
244        0.000107266       2.9589e-06
245        0.000131512       1.24378e-05
246        0.000106634       5.29973e-06
247        0.00011139       5.99617e-06
248        0.000123121       2.76822e-06
249        0.000134601       1.82211e-06
250        7.76323e-05       5.73349e-06
251        0.000112487       7.7248e-06
252        0.000128675       6.86214e-06
253        9.60335e-05       4.24777e-06
254        0.000160453       6.67864e-06
255        0.00010134       5.66853e-06
256        0.000148842       1.40645e-05
257        0.000123477       4.78913e-06
258        0.000158117       4.87001e-06
259        0.000111469       4.16592e-06
260        0.000105248       5.55983e-06
261        0.000128857       3.05207e-06
262        9.97853e-05       3.59569e-06
263        0.000138159       8.02518e-06
264        0.000116417       2.5197e-06
265        0.000130999       2.66985e-06
266        0.000130834       8.0256e-06
267        9.34391e-05       4.45313e-06
268        0.00011798       6.21217e-06
269        0.000109994       4.02746e-06
270        0.00010894       1.74146e-06
271        0.000109081       1.47649e-06
272        0.000132159       5.86865e-06
273        0.000122513       2.62083e-06
274        0.000107054       2.93344e-06
275        0.000107558       4.03075e-06
276        0.000100301       1.81653e-06
277        0.000135932       8.13173e-06
278        0.000112022       2.68401e-06
279        0.000135959       4.76751e-06
280        0.000134406       4.83454e-06
281        0.00011294       5.44343e-06
282        0.000133006       6.11403e-06
283        0.000112189       5.06222e-06
284        0.000133356       4.51526e-06
285        0.000135981       3.38475e-06
286        0.00013377       6.2508e-06
287        0.000112104       5.24641e-06
288        0.00011338       6.08866e-06
289        0.000122121       2.27885e-06
290        0.000152315       4.88536e-06
291        0.000153373       7.06491e-06
292        0.000152591       2.77783e-06
293        0.000154528       5.42134e-06
294        0.000140564       1.16045e-06
295        0.000144773       1.0961e-05
296        0.000139702       7.8718e-06
297        0.000147768       8.04895e-06
298        0.000139605       1.62556e-05
299        0.000140262       5.05827e-06
300        0.000155456       2.76682e-06
301        0.00013655       5.26063e-06
302        0.0001549       2.48179e-06
303        0.000143969       3.60236e-06
304        0.000159946       7.50872e-06
305        0.000156963       1.92052e-05
306        0.000153485       7.62715e-06
307        0.000139049       8.91657e-06
308        0.000138954       4.46192e-06
309        0.000135627       4.41732e-06
310        0.000175623       3.62925e-06
311        0.000137017       6.27386e-06
312        0.000144813       1.23727e-05
313        0.000174863       2.83344e-06
314        0.000143227       1.19698e-05
315        0.000173592       7.5492e-06
316        0.000173372       5.90985e-06
317        0.000141304       8.45362e-06
318        0.000151162       1.35619e-05
319        0.000148473       1.08645e-05
320        0.00017945       1.63357e-06
321        0.000138752       6.35263e-06
322        0.000174202       3.63975e-06
323        0.000142752       1.20008e-05
324        0.000142311       9.13136e-06
325        0.000139499       1.49439e-05
326        0.000143877       1.11129e-05
327        0.000178032       2.86482e-06
328        0.000147       4.87745e-06
329        0.00014201       6.25149e-06
330        2.34069e-05       3.21919e-07
331        2.31799e-05       2.94005e-07
332        2.38566e-05       6.9644e-07
333        2.38488e-05       3.34396e-07
334        2.3815e-05       9.81485e-07
335        2.55914e-05       7.85041e-08
336        2.32698e-05       2.86709e-07
337        2.38515e-05       2.28517e-07
338        2.37916e-05       4.13179e-07
339        2.35967e-05       3.7444e-07
340        2.34147e-05       3.19148e-07
341        2.38431e-05       7.57221e-07
342        2.5958e-05       5.58295e-07
343        2.38931e-05       1.64856e-07
344        2.34516e-05       3.89196e-07
345        2.56948e-05       3.88697e-07
346        2.3553e-05       5.19957e-07
347        2.35249e-05       4.0238e-07
348        2.38817e-05       5.64907e-07
349        2.31942e-05       1.49103e-07
350        3.29053e-05       2.89618e-07
351        3.27042e-05       6.44015e-07
352        3.321e-05       7.72946e-07
353        3.28916e-05       6.90347e-07
354        3.29443e-05       9.10841e-07
355        3.29345e-05       1.23795e-06
356        3.2707e-05       2.58124e-07
357        3.28055e-05       4.25208e-07
