#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
308        0.00128094       6.11782e-05
309        0.00146529       6.54686e-05
310        0.00106179       2.56897e-05
311        0.00112474       4.22581e-05
312        0.00107161       2.69238e-05
313        0.00144678       7.07402e-05
314        0.00096497       2.33188e-05
315        0.00155848       7.37444e-05
316        0.00182386       5.45532e-05
317        0.00137843       3.28609e-05
318        0.00153787       3.77632e-05
319        0.0010312       3.51754e-05
320        0.0014222       6.61444e-05
321        0.000961424       3.80048e-05
322        0.00179574       3.80003e-05
323        0.00119064       8.48855e-05
324        0.00111294       4.70176e-05
325        0.0012145       2.85743e-05
326        0.0015966       1.37979e-05
327        0.00126508       1.63059e-05
328        0.00157981       4.7302e-05
329        0.00143978       6.21529e-05
330        0.00117975       5.33481e-05
331        0.000825785       3.64974e-05
332        0.00157593       3.77116e-05
333        0.00153964       2.01958e-05
334        0.00176386       0.000130603
335        0.00162678       4.77446e-05
336        0.00213863       8.34716e-05
337        0.00159231       6.89525e-05
338        0.00151502       3.36906e-05
339        0.00145158       8.86946e-05
340        0.00155621       0.000110445
341        0.00172116       9.84049e-05
342        0.00120705       7.2563e-05
343        0.0015482       5.44622e-05
344        0.0014       5.80626e-05
345        0.00132282       9.68041e-05
346        0.00123832       9.25365e-05
347        0.00193918       2.63926e-05
348        0.00134422       5.4265e-05
349        0.0013174       4.31643e-05
350        0.00242388       3.14733e-05
351        0.0020038       5.45038e-05
352        0.00161106       6.50278e-05
353        0.00216692       4.18577e-05
354        0.00182048       9.29002e-05
355        0.00218241       7.33627e-05
356        0.00208311       5.72908e-05
357        0.0015892       8.29227e-05
358        0.00232055       5.17356e-05
359        0.00204379       2.22019e-05
360        0.00152824       7.85466e-05
361        0.00229322       0.000102293
362        0.00246512       0.000115097
363        0.00157369       0.000117864
364        0.00180252       3.66737e-05
365        0.00195537       9.78567e-05
366        0.00256413       9.04222e-05
367        0.00286546       0.000129174
368        0.00194101       0.000146418
369        0.0024301       5.55228e-05
370        0.00202452       6.87851e-05
371        0.00135621       6.65482e-05
372        0.00198628       5.65702e-05
373        0.0020652       2.02074e-05
374        0.00179415       5.65075e-05
375        0.00220696       6.31053e-05
376        0.00227519       0.000100127
377        0.00193626       2.45947e-05
378        0.00184347       5.48915e-05
379        0.00225892       3.13189e-05
380        0.00165709       6.72184e-05
381        0.00186448       5.94494e-05
382        0.00163518       8.76403e-05
383        0.00166578       3.44455e-05
384        0.00264045       7.83749e-05
385        0.00190746       7.12433e-05
386        0.00230535       1.73037e-05
387        0.00271111       0.000179133
388        0.00223028       6.8173e-05
389        0.00226007       0.000152118
390        0.00172508       5.28343e-05
391        0.00208517       0.00010365
392        0.00208577       6.7014e-05
393        0.00177113       9.07039e-05
394        0.00290983       6.08664e-05
395        0.00170766       4.66965e-05
396        0.00255656       0.000126761
397        0.00324142       0.000110932
398        0.00201457       6.72063e-05
399        0.00255094       0.000181551
400        0.00264463       0.000136233
401        0.00373388       0.000232613
402        0.00237668       0.000108886
403        0.00168939       3.48766e-05
404        0.00311608       9.91776e-05
405        0.00131328       1.92003e-05
406        0.00289647       9.76811e-05
407        0.00217876       4.68e-05
408        0.00281203       0.000111421
409        0.00317505       0.000182984
410        0.00156693       2.58807e-05
411        0.00278722       0.000211768
412        0.0041331       0.000114081
413        0.00207059       9.66619e-05
414        0.00282982       0.000190506
415        0.00280427       0.000120695
416        0.0019397       9.04953e-05
417        0.00273757       0.000190092
418        0.00167299       0.000101053
419        0.00268224       7.25386e-05
420        0.00287646       9.99977e-05
421        0.00308505       0.000161854
422        0.00239505       0.000112043
423        0.00214205       9.30182e-05
424        0.00388568       6.82319e-05
425        0.00218799       0.000124034
426        0.00363076       0.000112326
427        0.00203098       0.000151865
428        0.003341       9.01128e-05
429        0.00292476       0.000114563
430        0.00237969       9.15453e-05
431        0.00242367       2.45056e-05
432        0.00373504       0.000199027
433        0.00308042       0.000131118
434        0.00328594       0.000202968
435        0.00228041       7.09158e-05
436        0.00220252       0.00015207
437        0.00225344       0.00016445
438        0.00229361       9.20289e-05
439        0.00276417       8.41204e-05
440        0.00246225       0.000143222
441        0.00253436       0.000114306
442        0.00211333       5.62797e-05
443        0.00340292       0.000249507
444        0.00340049       0.000192274
445        0.00268423       0.000155268
446        0.00169116       3.58193e-05
447        0.00243526       3.02159e-05
