Sample   Start  End 
325   June 16 03:37 PM  June 17 02:14 AM 
326   June 16 03:17 PM  June 17 02:02 AM 
327   June 16 03:11 PM  June 17 01:47 AM 
328   June 16 02:37 PM  June 17 01:11 AM 
329   June 16 01:58 PM  June 17 12:39 AM 
330   June 16 12:52 PM  June 16 11:31 PM 
331   June 16 12:21 PM  June 16 11:00 PM 
332   June 16 12:04 PM  June 16 10:45 PM 
333   June 16 11:50 AM  June 16 10:30 PM 
334   June 16 10:57 AM  June 16 09:36 PM 
335   June 16 10:57 AM  June 16 09:36 PM 
336   June 16 10:56 AM  June 16 09:36 PM 
337   June 16 10:54 AM  June 16 09:39 PM 
338   June 16 10:53 AM  June 16 09:36 PM 
339   June 16 10:53 AM  June 16 09:33 PM 
340   June 16 10:51 AM  June 16 09:25 PM 
341   June 16 10:49 AM  June 16 11:29 PM 
342   June 16 10:48 AM  June 16 11:33 PM 
343   June 16 10:47 AM  June 16 11:29 PM 
344   June 16 10:47 AM  June 16 11:33 PM 
345   June 16 10:46 AM  June 16 11:29 PM 
346   June 16 10:46 AM  June 16 11:30 PM 
347   June 16 10:45 AM  June 16 11:31 PM 
348   June 16 10:44 AM  June 16 11:30 PM 
349   June 16 10:44 AM  June 16 11:33 PM 
350   June 16 10:43 AM  June 16 11:24 PM 
351   June 16 10:43 AM  June 16 11:21 PM 
352   June 16 10:05 AM  June 17 02:11 AM 
353   June 16 10:03 AM  June 16 10:46 PM 
354   June 16 10:03 AM  June 16 10:40 PM 
355   June 16 10:02 AM  June 16 10:43 PM 
356   June 16 10:02 AM  June 16 10:40 PM 
357   June 16 10:01 AM  June 16 10:47 PM 
358   June 16 09:55 AM  June 16 10:39 PM 
359   June 16 09:47 AM  June 16 10:24 PM 
360   June 16 09:45 AM  June 16 10:31 PM 
361   June 16 09:39 AM  June 16 10:15 PM 
362   June 16 09:36 AM  June 16 10:22 PM 
363   June 16 09:35 AM  June 16 10:23 PM 
364   June 16 09:35 AM  June 16 10:20 PM 
365   June 16 09:33 AM  June 16 10:13 PM 
366   June 16 09:31 AM  June 16 10:12 PM 
367   June 16 09:12 AM  June 16 09:56 PM 
368   June 16 09:09 AM  June 16 09:51 PM 
369   June 16 09:09 AM  June 16 09:47 PM 
370   June 16 09:01 AM  June 16 09:41 PM 
371   June 16 09:01 AM  June 16 09:31 PM 
372   June 16 08:57 AM  June 16 09:44 PM 
373   June 16 08:55 AM  June 16 09:35 PM 
374   June 16 08:53 AM  June 16 09:41 PM 
375   June 16 08:50 AM  June 16 09:31 PM 
376   June 16 08:49 AM  June 16 09:43 PM 
377   June 16 08:48 AM  June 16 09:33 PM 
378   June 16 08:48 AM  June 16 10:55 PM 
379   June 16 08:48 AM  June 16 09:35 PM 
380   June 16 08:46 AM  June 16 09:31 PM 
381   June 16 08:46 AM  June 16 10:54 AM 
382   June 16 08:46 AM  June 16 10:57 AM 
383   June 16 08:46 AM  June 16 10:57 AM 
384   June 16 08:46 AM  June 16 10:56 AM 
385   June 16 08:44 AM  June 16 10:52 AM 
386   June 16 08:44 AM  June 16 10:53 AM 
387   June 16 08:42 AM  June 16 10:50 AM 
388   June 16 08:40 AM  June 16 10:48 AM 
389   June 16 08:40 AM  June 16 10:49 AM 
